 format: day,hour,forecast,value  location:102_83 Start : 20171201 
 2,0500,+52,305.000000 
 2,0500,+55,298.000000 
 2,0500,+58,309.000000 
 2,0800,+4,287.000000 
 2,0800,+7,293.000000 
 2,0800,+10,293.000000 
 2,0800,+13,288.000000 
 2,0800,+16,294.000000 
 2,0800,+19,301.000000 
 2,0800,+22,72.000000 
 2,0800,+25,357.000000 
 2,0800,+28,312.000000 
 2,0800,+31,290.000000 
 2,0800,+34,315.000000 
 2,0800,+37,266.000000 
 2,0800,+40,305.000000 
 2,0800,+43,339.000000 
 2,0800,+46,314.000000 
 2,0800,+49,297.000000 
 2,0800,+52,311.000000 
 2,0800,+55,303.000000 
 2,1100,+4,293.000000 
 2,1100,+7,293.000000 
 2,1100,+10,288.000000 
 2,1100,+13,294.000000 
 2,1100,+16,301.000000 
 2,1100,+19,72.000000 
 2,1100,+22,357.000000 
 2,1100,+25,312.000000 
 2,1100,+28,290.000000 
 2,1100,+31,315.000000 
 2,1100,+34,266.000000 
 2,1100,+37,305.000000 
 2,1100,+40,339.000000 
 2,1100,+43,314.000000 
 2,1100,+46,297.000000 
 2,1100,+49,311.000000 
 2,1100,+52,303.000000 
 2,1400,+4,293.000000 
 2,1400,+7,288.000000 
 2,1400,+10,294.000000 
 2,1400,+13,301.000000 
 2,1400,+16,72.000000 
 2,1400,+19,357.000000 
 2,1400,+22,312.000000 
 2,1400,+25,290.000000 
 2,1400,+28,315.000000 
 2,1400,+31,266.000000 
 2,1400,+34,305.000000 
 2,1400,+37,339.000000 
 2,1400,+40,314.000000 
 2,1400,+43,297.000000 
 2,1400,+46,311.000000 
 2,1400,+49,303.000000 
 2,1700,+4,288.000000 
 2,1700,+7,294.000000 
 2,1700,+10,301.000000 
 2,1700,+13,72.000000 
 2,1700,+16,357.000000 
 2,1700,+19,312.000000 
 2,1700,+22,290.000000 
 2,1700,+25,315.000000 
 2,1700,+28,266.000000 
 2,1700,+31,305.000000 
 2,1700,+34,339.000000 
 2,1700,+37,314.000000 
 2,1700,+40,297.000000 
 2,1700,+43,311.000000 
 2,1700,+46,303.000000 
 2,2000,+4,283.000000 
 2,2000,+7,198.000000 
 2,2000,+10,336.000000 
 2,2000,+13,313.000000 
 2,2000,+16,315.000000 
 2,2000,+19,310.000000 
 2,2000,+22,309.000000 
 2,2000,+25,302.000000 
 2,2000,+28,315.000000 
 2,2000,+31,322.000000 
 2,2000,+34,310.000000 
 2,2000,+37,288.000000 
 2,2000,+40,310.000000 
 2,2000,+43,306.000000 
 2,2000,+46,311.000000 
 2,2000,+49,310.000000 
 2,2000,+52,313.000000 
 2,2000,+55,308.000000 
 2,2000,+58,303.000000 
 2,2000,+61,270.000000 
 2,2000,+64,283.000000 
 2,2000,+67,261.000000 
 2,2300,+4,198.000000 
 2,2300,+7,336.000000 
 2,2300,+10,313.000000 
 2,2300,+13,315.000000 
 2,2300,+16,310.000000 
 2,2300,+19,309.000000 
 2,2300,+22,302.000000 
 2,2300,+25,315.000000 
 2,2300,+28,322.000000 
 2,2300,+31,310.000000 
 2,2300,+34,288.000000 
 2,2300,+37,310.000000 
 2,2300,+40,306.000000 
 2,2300,+43,311.000000 
 2,2300,+46,310.000000 
 2,2300,+49,313.000000 
 2,2300,+52,308.000000 
 2,2300,+55,303.000000 
 2,2300,+58,270.000000 
 2,2300,+61,283.000000 
 2,2300,+64,261.000000 
 3,0200,+4,336.000000 
 3,0200,+7,313.000000 
 3,0200,+10,315.000000 
 3,0200,+13,310.000000 
 3,0200,+16,309.000000 
 3,0200,+19,302.000000 
 3,0200,+22,315.000000 
 3,0200,+25,322.000000 
 3,0200,+28,310.000000 
 3,0200,+31,288.000000 
 3,0200,+34,310.000000 
 3,0200,+37,306.000000 
 3,0200,+40,311.000000 
 3,0200,+43,310.000000 
 3,0200,+46,313.000000 
 3,0200,+49,308.000000 
 3,0200,+52,303.000000 
 3,0200,+55,270.000000 
 3,0200,+58,283.000000 
 3,0200,+61,261.000000 
 3,0500,+4,313.000000 
 3,0500,+7,315.000000 
 3,0500,+10,310.000000 
 3,0500,+13,309.000000 
 3,0500,+16,302.000000 
 3,0500,+19,315.000000 
 3,0500,+22,322.000000 
 3,0500,+25,310.000000 
 3,0500,+28,288.000000 
 3,0500,+31,310.000000 
 3,0500,+34,306.000000 
 3,0500,+37,311.000000 
 3,0500,+40,310.000000 
 3,0500,+43,313.000000 
 3,0500,+46,308.000000 
 3,0500,+49,303.000000 
 3,0500,+52,270.000000 
 3,0500,+55,283.000000 
 3,0500,+58,261.000000 
 3,0800,+4,313.000000 
 3,0800,+7,313.000000 
 3,0800,+10,312.000000 
 3,0800,+13,293.000000 
 3,0800,+16,318.000000 
 3,0800,+19,311.000000 
 3,0800,+22,304.000000 
 3,0800,+25,295.000000 
 3,0800,+28,306.000000 
 3,0800,+31,304.000000 
 3,0800,+34,301.000000 
 3,0800,+37,303.000000 
 3,0800,+40,313.000000 
 3,0800,+43,307.000000 
 3,0800,+46,295.000000 
 3,0800,+49,286.000000 
 3,0800,+52,321.000000 
 3,0800,+55,297.000000 
 3,1100,+4,313.000000 
 3,1100,+7,312.000000 
 3,1100,+10,293.000000 
 3,1100,+13,318.000000 
 3,1100,+16,311.000000 
 3,1100,+19,304.000000 
 3,1100,+22,295.000000 
 3,1100,+25,306.000000 
 3,1100,+28,304.000000 
 3,1100,+31,301.000000 
 3,1100,+34,303.000000 
 3,1100,+37,313.000000 
 3,1100,+40,307.000000 
 3,1100,+43,295.000000 
 3,1100,+46,286.000000 
 3,1100,+49,321.000000 
 3,1100,+52,297.000000 
 3,1400,+4,312.000000 
 3,1400,+7,293.000000 
 3,1400,+10,318.000000 
 3,1400,+13,311.000000 
 3,1400,+16,304.000000 
