 format: day,hour,forecast,value  location:102_83 Start : 20171201 
 3,1400,+19,295.000000 
 3,1400,+22,306.000000 
 3,1400,+25,304.000000 
 3,1400,+28,301.000000 
 3,1400,+31,303.000000 
 3,1400,+34,313.000000 
 3,1400,+37,307.000000 
 3,1400,+40,295.000000 
 3,1400,+43,286.000000 
 3,1400,+46,321.000000 
 3,1400,+49,297.000000 
 3,1700,+4,293.000000 
 3,1700,+7,318.000000 
 3,1700,+10,311.000000 
 3,1700,+13,304.000000 
 3,1700,+16,295.000000 
 3,1700,+19,306.000000 
 3,1700,+22,304.000000 
 3,1700,+25,301.000000 
 3,1700,+28,303.000000 
 3,1700,+31,313.000000 
 3,1700,+34,307.000000 
 3,1700,+37,295.000000 
 3,1700,+40,286.000000 
 3,1700,+43,321.000000 
 3,1700,+46,297.000000 
 3,2000,+4,326.000000 
 3,2000,+7,310.000000 
 3,2000,+10,303.000000 
 3,2000,+13,300.000000 
 3,2000,+16,301.000000 
 3,2000,+19,302.000000 
 3,2000,+22,297.000000 
 3,2000,+25,294.000000 
 3,2000,+28,310.000000 
 3,2000,+31,306.000000 
 3,2000,+34,296.000000 
 3,2000,+37,303.000000 
 3,2000,+40,310.000000 
 3,2000,+43,301.000000 
 3,2000,+46,281.000000 
 3,2000,+49,293.000000 
 3,2000,+52,330.000000 
 3,2000,+55,292.000000 
 3,2000,+58,298.000000 
 3,2000,+61,242.000000 
 3,2000,+64,284.000000 
 3,2000,+67,305.000000 
 3,2300,+4,310.000000 
 3,2300,+7,303.000000 
 3,2300,+10,300.000000 
 3,2300,+13,301.000000 
 3,2300,+16,302.000000 
 3,2300,+19,297.000000 
 3,2300,+22,294.000000 
 3,2300,+25,310.000000 
 3,2300,+28,306.000000 
 3,2300,+31,296.000000 
 3,2300,+34,303.000000 
 3,2300,+37,310.000000 
 3,2300,+40,301.000000 
 3,2300,+43,281.000000 
 3,2300,+46,293.000000 
 3,2300,+49,330.000000 
 3,2300,+52,292.000000 
 3,2300,+55,298.000000 
 3,2300,+58,242.000000 
 3,2300,+61,284.000000 
 3,2300,+64,305.000000 
 4,0200,+4,303.000000 
 4,0200,+7,300.000000 
 4,0200,+10,301.000000 
 4,0200,+13,302.000000 
 4,0200,+16,297.000000 
 4,0200,+19,294.000000 
 4,0200,+22,310.000000 
 4,0200,+25,306.000000 
 4,0200,+28,296.000000 
 4,0200,+31,303.000000 
 4,0200,+34,310.000000 
 4,0200,+37,301.000000 
 4,0200,+40,281.000000 
 4,0200,+43,293.000000 
 4,0200,+46,330.000000 
 4,0200,+49,292.000000 
 4,0200,+52,298.000000 
 4,0200,+55,242.000000 
 4,0200,+58,284.000000 
 4,0200,+61,305.000000 
 4,0500,+4,300.000000 
 4,0500,+7,301.000000 
 4,0500,+10,302.000000 
 4,0500,+13,297.000000 
 4,0500,+16,294.000000 
 4,0500,+19,310.000000 
 4,0500,+22,306.000000 
 4,0500,+25,296.000000 
 4,0500,+28,303.000000 
 4,0500,+31,310.000000 
 4,0500,+34,301.000000 
 4,0500,+37,281.000000 
 4,0500,+40,293.000000 
 4,0500,+43,330.000000 
 4,0500,+46,292.000000 
 4,0500,+49,298.000000 
 4,0500,+52,242.000000 
 4,0500,+55,284.000000 
 4,0500,+58,305.000000 
 4,0800,+4,301.000000 
 4,0800,+7,308.000000 
 4,0800,+10,309.000000 
 4,0800,+13,312.000000 
 4,0800,+16,319.000000 
 4,0800,+19,305.000000 
 4,0800,+22,298.000000 
 4,0800,+25,289.000000 
 4,0800,+28,262.000000 
 4,0800,+31,252.000000 
 4,0800,+34,265.000000 
 4,0800,+37,280.000000 
 4,0800,+40,277.000000 
 4,0800,+43,280.000000 
 4,0800,+46,288.000000 
 4,0800,+49,349.000000 
 4,0800,+52,317.000000 
 4,0800,+55,287.000000 
 4,1100,+4,308.000000 
 4,1100,+7,309.000000 
 4,1100,+10,312.000000 
 4,1100,+13,319.000000 
 4,1100,+16,305.000000 
 4,1100,+19,298.000000 
 4,1100,+22,289.000000 
 4,1100,+25,262.000000 
 4,1100,+28,252.000000 
 4,1100,+31,265.000000 
 4,1100,+34,280.000000 
 4,1100,+37,277.000000 
 4,1100,+40,280.000000 
 4,1100,+43,288.000000 
 4,1100,+46,349.000000 
 4,1100,+49,317.000000 
 4,1100,+52,287.000000 
 4,1400,+4,309.000000 
 4,1400,+7,312.000000 
 4,1400,+10,319.000000 
 4,1400,+13,305.000000 
 4,1400,+16,298.000000 
 4,1400,+19,289.000000 
 4,1400,+22,262.000000 
 4,1400,+25,252.000000 
 4,1400,+28,265.000000 
 4,1400,+31,280.000000 
 4,1400,+34,277.000000 
 4,1400,+37,280.000000 
 4,1400,+40,288.000000 
 4,1400,+43,349.000000 
 4,1400,+46,317.000000 
 4,1400,+49,287.000000 
 4,1700,+4,312.000000 
 4,1700,+7,319.000000 
 4,1700,+10,305.000000 
 4,1700,+13,298.000000 
 4,1700,+16,289.000000 
 4,1700,+19,262.000000 
 4,1700,+22,252.000000 
 4,1700,+25,265.000000 
 4,1700,+28,280.000000 
 4,1700,+31,277.000000 
 4,1700,+34,280.000000 
 4,1700,+37,288.000000 
 4,1700,+40,349.000000 
 4,1700,+43,317.000000 
 4,1700,+46,287.000000 
 4,2000,+4,315.000000 
 4,2000,+7,309.000000 
 4,2000,+10,299.000000 
 4,2000,+13,281.000000 
 4,2000,+16,264.000000 
 4,2000,+19,247.000000 
 4,2000,+22,246.000000 
 4,2000,+25,276.000000 
 4,2000,+28,283.000000 
 4,2000,+31,285.000000 
 4,2000,+34,277.000000 
 4,2000,+37,210.000000 
 4,2000,+40,294.000000 
 4,2000,+43,302.000000 
 4,2000,+46,293.000000 
 4,2000,+49,275.000000 
 4,2000,+52,265.000000 
 4,2000,+55,268.000000 
 4,2000,+58,272.000000 
 4,2000,+61,264.000000 
 4,2000,+64,345.000000 
 4,2000,+67,323.000000 
 4,2300,+4,309.000000 
 4,2300,+7,299.000000 
 4,2300,+10,281.000000 
 4,2300,+13,264.000000 
 4,2300,+16,247.000000 
 4,2300,+19,246.000000 
 4,2300,+22,276.000000 
 4,2300,+25,283.000000 
 4,2300,+28,285.000000 
 4,2300,+31,277.000000 
 4,2300,+34,210.000000 
 4,2300,+37,294.000000 
 4,2300,+40,302.000000 
